ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
129601,Phillipp Wende,Male,31.0,199.0,90.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
129604,"Kristen Elizabeth ""Krissy"" Wendell (-Pohl)",Female,20.0,167.0,70.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
129604,"Kristen Elizabeth ""Krissy"" Wendell (-Pohl)",Female,24.0,167.0,70.0,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
129611,Tobias Wendl,Male,26.0,184.0,88.0,Germany-1,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed (Men)'s Doubles,Gold
129611,Tobias Wendl,Male,26.0,184.0,88.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Gold
129627,Lauren Ashley Wenger (-Trapani),Female,24.0,191.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Silver
129627,Lauren Ashley Wenger (-Trapani),Female,28.0,191.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
129640,"Egbert Rolf ""Erben"" Wennemars",Male,30.0,182.0,80.0,Netherlands,NED,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
129640,"Egbert Rolf ""Erben"" Wennemars",Male,30.0,182.0,80.0,Netherlands,NED,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Bronze
129726,Isabelle Regina Werth,Female,31.0,169.0,66.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
129726,Isabelle Regina Werth,Female,31.0,169.0,66.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
129726,Isabelle Regina Werth,Female,39.0,169.0,66.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
129726,Isabelle Regina Werth,Female,39.0,169.0,66.0,Satchmo,GER,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
129726,Isabelle Regina Werth,Female,47.0,169.0,66.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
129726,Isabelle Regina Werth,Female,47.0,169.0,66.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
129734,Benjamin We,Male,23.0,176.0,72.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Gold
129734,Benjamin We,Male,26.0,176.0,72.0,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
129735,Timo We,Male,22.0,175.0,74.0,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
129735,Timo We,Male,26.0,175.0,74.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Gold
129735,Timo We,Male,30.0,175.0,74.0,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
129738,Seth Benjamin Wescott,Male,29.0,185.0,91.0,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Boardercross,Gold
129738,Seth Benjamin Wescott,Male,33.0,185.0,91.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Boardercross,Gold
129740,Andr Weels,Male,30.0,196.0,84.0,Germany,GER,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Team",Bronze
129746,Christopher Wesley,Male,25.0,192.0,88.0,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold
129746,Christopher Wesley,Male,29.0,192.0,88.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
129771,"A. Joshua ""Josh"" West",Male,31.0,207.0,105.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
129772,Kieran Martin West,Male,22.0,204.0,100.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
129792,"Russell Westbrook, Jr.",Male,23.0,191.0,85.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
129822,Lisa Laetitia Westerhof,Female,30.0,167.0,56.0,Netherlands,NED,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Bronze
129823,Marieke Aleida Westerhof,Female,26.0,186.0,75.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Silver
129886,"Jacob ""Jake"" Wetzel",Male,27.0,195.0,94.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Silver
129886,"Jacob ""Jake"" Wetzel",Male,31.0,195.0,94.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
129894,Roderick Camiel Weusthof,Male,30.0,183.0,88.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Silver
129898,Sanne Wevers,Female,24.0,156.0,46.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Gold
129899,Wverton Pereira da Silva,Male,28.0,189.0,86.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
129913,Lindsay Marie Whalen,Female,30.0,175.0,72.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
129913,Lindsay Marie Whalen,Female,34.0,175.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
129922,Georgina Wheatcroft (Hawkes-),Female,36.0,180.0,81.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Bronze
129933,Adam Wheeler,Male,27.0,191.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
129959,Mary Rebecca Whipple,Female,24.0,160.0,48.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Silver
129959,Mary Rebecca Whipple,Female,28.0,160.0,48.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
129959,Mary Rebecca Whipple,Female,32.0,160.0,48.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
130010,Nicola White,Female,24.0,172.0,65.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Bronze
130010,Nicola White,Female,28.0,172.0,65.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
